[2025-10-28 19:44:51 | 1761695091s] --- APP STARTUP ---
Barcode vpre-alpha started at 2025-10-28 19:44:51

[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:03 | 1761695103s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:03 | 1761695103s] run handle_cursor_function
[2025-10-28 19:45:03 | 1761695103s] None
[2025-10-28 19:45:04 | 1761695104s] CursorAction(MoveRel(-1, 0))
[2025-10-28 19:45:04 | 1761695104s] run handle_cursor_function
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] CursorAction(MoveRel(0, -1))
[2025-10-28 19:45:04 | 1761695104s] run handle_cursor_function
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] None
[2025-10-28 19:45:04 | 1761695104s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:45:04 | 1761695104s] run handle_cursor_function
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] CursorAction(MoveRel(0, 1))
[2025-10-28 19:45:05 | 1761695105s] run handle_cursor_function
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] CursorAction(MoveRel(0, -1))
[2025-10-28 19:45:05 | 1761695105s] run handle_cursor_function
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:05 | 1761695105s] CursorAction(MoveRel(1, 0))
[2025-10-28 19:45:05 | 1761695105s] run handle_cursor_function
[2025-10-28 19:45:05 | 1761695105s] None
[2025-10-28 19:45:06 | 1761695106s] None
[2025-10-28 19:45:06 | 1761695106s] Quit
